Ingrediente;Categoria;Notas;Alternativas;Fuente
"Acetona / Acetone";Precaución;"Irritante; puede resecar y sensibilizar la piel. Usada en removedores y primers.";"Removedores sin acetona";Guías cosméticas
"Ácido fosfórico / Phosphoric acid";Precaución;"Irritante usado en primers para desengrasar uñas.";"Alternativas menos agresivas";Estudios clínicos
"Ácido metacrílico / Methacrylic acid";Prohibido;"Irritante y alergénico en primers y geles.";"Alternativas sin ácido metacrílico";Literatura técnica
"Alcohol isopropílico / Isopropyl alcohol";Tolerable;"Solvente y desengrasante; puede resecar piel muy sensible.";"N/A";Guías cosméticas
"Isobornil acrilato / Isobornyl acrylate";Prohibido;"Monómero alergénico frecuente en geles y polygel.";"Acrilatos alternativos";Reportes clínicos
"Uretano metacrilato / Urethane methacrylate";Tolerable;"Componente común en geles; generalmente seguro si bien curado.";"N/A";Literatura técnica
"Metacrilato de metilo / Methyl methacrylate (MMA)";Prohibido;"Potencialmente tóxico y alergénico; prohibido en muchos países para uso cosmético";"Metacrilato de etilo (EMA)";https://www.fda.gov
"Metacrilato de etilo / Ethyl methacrylate (EMA)";Con precaución;"Menos tóxico que MMA, usado en geles y acrílicos";"";""
"Polimetilmetacrilato / Polymethyl methacrylate (PMMA)";Tolerable;"Base sólida en acrílicos y geles constructores";"";""
"Ftalatos (dibutilftalato; DBP) / Phthalates (dibutyl phthalate; DBP)";Prohibido;"Prohibido o restringido en esmaltes por toxicidad";"Esmaltes sin ftalatos";""
"Tolueno / Toluene";Prohibido;"Irritante y tóxico; restringido en algunos países";"Solventes alternativos menos tóxicos";""
"Formaldehído / Formaldehyde";Prohibido;"Potencial carcinógeno y alergénico; en esmaltes tradicionales";"";""
"Resina de metacrilato de butilo / Butyl methacrylate resin";Con precaución;"Componente en esmaltes y geles";"";""
"Fotoiniciadores / Photoinitiators";Tolerable;"Permiten el curado con luz UV o LED";"";""
"Dimeticona / Dimethicone";Tolerable;"Mejora la textura y brillo";"";""
"TMPTA (Trimetilolpropano triacrilato) / Trimethylolpropane triacrylate (TMPTA)";Con precaución;"Monómero altamente sensibilizante presente en geles y esmaltes semipermanentes; puede causar dermatitis alérgica de contacto.";"Uso de acrilatos alternativos menos sensibilizantes (como HEMA-free o Di-HEMA-free)";Reportes clínicos y fichas de seguridad
"Methyl Methacrylate Crosspolymer / Copolímero de metacrilato de metilo";Precaución;"Polímero sintético texturizante y absorbente. No es un monómero, por lo que no suele causar alergias como HEMA, HPMA o EGDMA, pero puede contener trazas de metacrilatos libres.";"Sílice; almidón modificado; Nylon-12";CosIng, EWG, literatura técnica
